cell_id	intensity_mean	intensity_membrane_mean	cell_area	cell_edge
1	47.125	47.125	8	8
2	72.68493150684931	107.45	584	160
3	72.92173913043479	80.26315789473684	115	76
4	57.20746432491767	90.3679525222552	1822	337
5	33.416666666666664	33.416666666666664	12	12
6	74.14366998577525	110.6875	703	176
7	56.499655410062026	97.74611398963731	2902	386
8	81.03563129357087	113.45289855072464	1291	276
9	54.425580801633906	78.97115384615384	3917	520
10	62.816144874155924	105.87135922330097	3258	412
11	49.636864512897574	91.33700440528635	3993	454
12	57.59567762269248	101.52089136490251	2221	359
13	37.50194552529183	39.936	257	125
14	62.55555555555556	62.55555555555556	9	9
15	74.16866506794564	115.5	1251	252
16	54.39219820769636	101.91935483870968	3794	434
17	45.98174048174048	73.51002227171492	2574	449
18	31.5	32.0625	34	32
19	56.06178707224335	94.31601731601732	3156	462
20	55.57976827094474	88.0051413881748	2244	389
21	63.508309687880015	115.96419437340154	2467	391
22	87.06223479490806	124.19553072625699	707	179
23	60.96543985637343	118.82230623818525	4456	529
24	53.535547785547784	96.06192660550458	3432	436
25	57.82962962962963	114.79107981220658	3375	426
26	51.908940397350996	92.32664756446991	2416	349
27	73.95272727272727	106.67094017094017	1100	234
28	59.31487564523698	107.93308550185874	4262	538
29	55.940071803369236	107.34803921568627	3621	408
30	70.23180076628353	81.85549132947978	522	173
31	43.78515389257694	72.38461538461539	1657	299
32	55.96411251212415	105.22474226804124	3093	485
33	74.12286090390522	130.4931880108992	2279	367
34	76.12392156862745	124.42338709677419	1275	248
35	40.755779876261805	74.22954545454546	3071	440
36	60.506230529595015	113.68617021276596	2568	376
37	81.03003754693367	95.47368421052632	799	190
38	57.21743437345221	97.38926174496645	2019	298
39	56.38533960995292	103.66923076923077	1487	260
40	64.93338815789474	96.8875968992248	1216	258
41	57.84310403253134	99.28186274509804	2951	408
42	64.31020124913255	109.44764397905759	2882	382
43	62.416551086454	129.42811501597444	2163	313
44	60.858143153526974	115.58849557522124	3856	452
45	54.12929782082325	92.0060975609756	2065	328
46	63.88305888919899	117.13913043478261	3583	460
47	65.76302205537307	114.85758513931889	2131	323
48	61.276947535771065	105.81617647058823	3145	408
49	58.660198555956676	93.82619647355163	2216	397
50	59.25237191650854	110.80987654320988	3162	405
51	55.06980742778542	109.75257731958763	2908	388
52	51.934462995265385	93.94656488549619	4013	524
53	55.13268832066344	99.90118577075098	1447	253
54	65.0822006472492	115.16319444444444	1545	288
55	74.76805696846388	113.26910299003322	1966	301
56	65.9995731967563	129.59941520467837	2343	342
57	66.0150631681244	107.86572438162544	2058	283
58	64.45825771324864	100.94827586206897	1102	232
59	84.51561021759697	108.05384615384615	1057	260
60	57.59711431742508	95.37765957446808	901	188
61	94.69281045751634	108.95726495726495	306	117
62	75.9138671875	142.2055267702936	5120	579
63	64.56427378964942	108.41666666666667	1198	240
64	57.7937033968517	83.17408906882591	1207	247
65	69.74323634507402	125.77142857142857	1959	315
66	73.07658536585366	118.41516966067864	4100	501
67	46.763565891472865	90.34501347708895	3354	371
68	53.54236111111111	92.78486055776892	1440	251
69	62.58757062146893	112.592	2478	375
70	83.24499523355577	113.81376518218623	1049	247
71	86.1587697423109	121.06882591093117	1203	247
72	74.33382570162482	124.21657754010695	2708	374
73	81.71308339709257	131.3622641509434	1307	265
74	100.0	100.0	16	16
75	65.42848335388409	116.07067137809187	1622	283
76	85.99499165275459	120.625	599	168
77	73.08655876143561	107.5548780487805	1421	328
78	60.165442764578835	110.28650137741047	2315	363
79	63.292956243329776	132.16722408026754	1874	299
80	61.33821376281113	133.8122866894198	2049	293
81	53.45815085158151	103.07349665924276	4110	449
82	80.95840867992767	126.95217391304348	1106	230
83	60.07307012374779	107.4914675767918	1697	293
84	65.95564853556485	123.18649517684888	2390	311
85	76.1903419104688	137.6851385390428	2837	397
86	67.44450050454087	139.87458745874588	1982	303
87	68.15342714480254	134.9185185185185	4406	540
88	64.31821829855538	131.6005747126437	2492	348
89	67.84590995561192	110.55319148936171	3154	470
90	70.98464994384126	138.5139240506329	2671	395
91	72.51102661596958	144.39662447257385	1315	237
92	68.56643065389422	109.30026109660574	2401	383
93	69.93917169974115	156.10493827160494	2318	324
94	61.96249391134924	115.37658227848101	2053	316
95	85.79935275080906	131.79425837320574	927	209
96	73.4455155071249	137.18528610354224	2386	367
97	59.6908945686901	117.85941644562334	2504	377
98	75.52043753598157	138.51013513513513	1737	296
99	90.32372505543238	118.62878787878788	451	132
100	62.554499366286436	132.8819095477387	3156	398
101	69.5354609929078	129.92105263157896	1692	266
102	76.01637043966323	135.56626506024097	2138	332
