,year,date,statefips,countyfips,pm_max_pred,pm_med_pred,pm_mean_pred,pm_pop_pred
69,2001,2001-01-01,4,4005,15.130853,13.6588345,13.247982643,13.2641814
70,2001,2001-01-01,4,4007,16.897772,14.275431,14.412102438,14.427569604
71,2001,2001-01-01,4,4009,15.657136,14.861042,14.778632222,14.754186006
72,2001,2001-01-01,4,4011,15.588406,14.416186,14.128414667,14.079473215
73,2001,2001-01-01,4,4012,18.737145,17.899897,17.589356222,17.50202086
74,2001,2001-01-01,4,4013,38.505755,31.123364,30.317311607,30.367978021
75,2001,2001-01-01,4,4015,15.948633,14.095855,14.102073605,14.058243383
76,2001,2001-01-01,4,4017,13.965133,12.734427,12.665502516,12.687868254
77,2001,2001-01-01,4,4019,18.899127,16.052877,16.055737614,16.050580114
78,2001,2001-01-01,4,4021,26.956567,18.621372,19.248145533,19.090436434
79,2001,2001-01-01,4,4023,16.208329,15.4182825,15.4748937,15.453027813
80,2001,2001-01-01,4,4025,21.598713,17.5754855,17.358758833,17.253061138
81,2001,2001-01-01,4,4027,22.535962,21.424235,21.349768164,21.504089689
82,2001,2001-01-01,5,5001,11.787958,10.7673985,10.731703625,10.883830628
83,2001,2001-01-01,5,5003,11.625357,11.34164,11.178899429,11.256031236
84,2001,2001-01-01,5,5005,13.599264,13.194216,13.196985556,13.207754562
85,2001,2001-01-01,5,5007,18.724346,17.70425,17.541697469,17.592501192
86,2001,2001-01-01,5,5009,14.664594,14.45308,14.452202429,14.461585792
87,2001,2001-01-01,5,5011,11.879095,11.593063,11.590424,11.567704615
88,2001,2001-01-01,5,5013,11.315666,11.1997245,11.1997245,11.204692187
89,2001,2001-01-01,5,5015,15.348574,15.195894,15.1708186,15.146164829
90,2001,2001-01-01,5,5017,9.760003,9.608883,9.62255775,9.6172118285
91,2001,2001-01-01,5,5019,12.943581,12.761375,12.7224528,12.704313674
92,2001,2001-01-01,5,5021,11.061071,10.9094245,10.9021925,10.900956891
93,2001,2001-01-01,5,5023,14.843514,14.207357,14.296249286,14.288388189
94,2001,2001-01-01,5,5025,11.965961,11.9459315,11.9459315,11.948469477
95,2001,2001-01-01,5,5027,11.410867,11.322796,11.2624366,11.272573831
96,2001,2001-01-01,5,5029,15.398805,15.054197,14.783160167,14.65762775
97,2001,2001-01-01,5,5031,12.662006,12.417273,12.296684412,12.315438805
98,2001,2001-01-01,5,5033,16.542661,16.268338,16.249748455,16.246360898
99,2001,2001-01-01,5,5035,11.557431,11.296017,11.26874975,11.268316172
100,2001,2001-01-01,5,5037,12.63059,11.944932,12.008682833,11.995389202
101,2001,2001-01-01,5,5039,11.922617,11.51495,11.609784333,11.52271628
102,2001,2001-01-01,5,5041,10.240294,9.705736,9.5748912,9.6266284054
103,2001,2001-01-01,5,5043,11.32787,10.975733,10.952025,11.023466585
104,2001,2001-01-01,5,5045,14.729833,14.376011,14.3712244,14.385610001
105,2001,2001-01-01,5,5047,15.766002,15.181998,15.356480333,15.394322498
106,2001,2001-01-01,5,5049,12.548874,12.3225545,12.3225545,12.328635277
107,2001,2001-01-01,5,5051,13.762026,13.5301175,13.5763549,13.595829561
108,2001,2001-01-01,5,5053,13.442511,13.021622,13.018783,13.001981458
109,2001,2001-01-01,5,5055,11.752558,11.370883,11.371787778,11.408392358
110,2001,2001-01-01,5,5057,14.261545,13.531427,13.6327464,13.566259987
111,2001,2001-01-01,5,5059,13.889129,13.627648,13.607571286,13.616643088
112,2001,2001-01-01,5,5061,15.06941,14.574345,14.645828,14.626328185
113,2001,2001-01-01,5,5063,13.811997,13.2583255,13.323406875,13.341963501
114,2001,2001-01-01,5,5065,13.014781,12.827411,12.77818275,12.762378622
115,2001,2001-01-01,5,5067,13.855916,13.752671,13.625454,13.632290099
116,2001,2001-01-01,5,5069,13.120797,12.5498345,12.500208792,12.519796811
117,2001,2001-01-01,5,5071,14.81758,14.129273,14.162049833,14.179686696
118,2001,2001-01-01,5,5073,12.523728,12.257765,12.257765,12.320768138
119,2001,2001-01-01,5,5075,12.376677,12.0774735,12.0658205,12.007201053
120,2001,2001-01-01,5,5077,11.275274,10.87573,10.8715815,10.796112291
121,2001,2001-01-01,5,5079,12.139818,11.679342,11.54608175,11.42021279
122,2001,2001-01-01,5,5081,15.264099,14.6016575,14.580986,14.70000097
123,2001,2001-01-01,5,5083,16.266933,15.7708925,15.719258,15.692306271
124,2001,2001-01-01,5,5085,14.140045,13.9268265,13.6327645,13.755465828
125,2001,2001-01-01,5,5087,15.860109,15.54846,15.39016775,15.449092657
126,2001,2001-01-01,5,5089,14.869022,13.92899,14.036334,14.010242424
127,2001,2001-01-01,5,5091,15.977157,15.7348325,15.476437417,15.142383323
128,2001,2001-01-01,5,5093,11.364754,11.244659,11.18960575,11.232433321
129,2001,2001-01-01,5,5095,12.011372,11.290209,11.389200667,11.509683604
130,2001,2001-01-01,5,5097,14.851504,14.418215,14.467442667,14.401817051
131,2001,2001-01-01,5,5099,12.838152,12.127202,12.296820333,12.484700074
132,2001,2001-01-01,5,5101,14.134434,13.836847,13.836847,13.830559448
133,2001,2001-01-01,5,5103,11.730796,11.654307,11.5532085,11.559279767
134,2001,2001-01-01,5,5105,15.465424,15.2288,15.216882667,15.301260259
135,2001,2001-01-01,5,5107,10.314389,10.052158,10.018207,10.086503166
136,2001,2001-01-01,5,5109,13.843135,13.582975,13.646354333,13.665097303
137,2001,2001-01-01,5,5111,12.866125,11.666404,11.787128571,11.765867823
138,2001,2001-01-01,5,5113,14.486065,13.963807,13.850894,13.988385095
139,2001,2001-01-01,5,5115,16.892914,16.395903,15.824519818,16.025490684
140,2001,2001-01-01,5,5117,13.020785,12.439382,12.408678,12.514914636
141,2001,2001-01-01,5,5119,15.258887,14.677092,14.612213284,14.586938087
142,2001,2001-01-01,5,5121,11.561176,11.3892185,11.39703775,11.385316817
143,2001,2001-01-01,5,5123,11.76947,11.3406615,11.351610167,11.320615433
144,2001,2001-01-01,5,5125,15.088439,14.637507,14.611818524,14.627359153
145,2001,2001-01-01,5,5127,16.499971,16.430836,16.270798667,16.358401734
146,2001,2001-01-01,5,5129,14.523992,14.168358,14.283704333,14.323637639
147,2001,2001-01-01,5,5131,16.857211,16.327272,16.390171538,16.410981419
148,2001,2001-01-01,5,5133,14.977813,13.976915,14.13839575,13.984057649
149,2001,2001-01-01,5,5135,12.460333,12.152479,12.1011735,12.198183768
150,2001,2001-01-01,5,5137,13.926034,13.635221,13.614247333,13.681855436
151,2001,2001-01-01,5,5139,11.377754,11.2612785,11.2196228,11.214249004
152,2001,2001-01-01,5,5141,14.368078,14.19873,14.1000888,14.085555416
153,2001,2001-01-01,5,5143,19.463857,18.96889,18.769871688,18.816682087
154,2001,2001-01-01,5,5145,15.331692,14.602887,14.670598231,14.680718546
155,2001,2001-01-01,5,5147,13.184714,12.8836135,12.8836135,12.812610187
156,2001,2001-01-01,5,5149,16.480222,15.390275,15.568928333,15.551396703
157,2001,2001-01-01,6,6001,56.708484,52.4345575,52.751494058,52.942986129
158,2001,2001-01-01,6,6003,12.663324,12.663324,12.663324,12.663324
159,2001,2001-01-01,6,6005,25.662103,21.031934,21.176171222,21.894553075
160,2001,2001-01-01,6,6007,26.702092,25.527019,25.356636059,25.364372851
161,2001,2001-01-01,6,6009,24.662062,18.4898235,19.3732692,20.626233469
162,2001,2001-01-01,6,6011,29.197149,26.179079,26.0779422,26.395907159
163,2001,2001-01-01,6,6013,54.195809,49.9026005,49.998926923,49.977653347
164,2001,2001-01-01,6,6015,27.675196,24.974652,25.388334,25.222058321
165,2001,2001-01-01,6,6017,27.796462,20.005423,19.849638767,20.986401331
166,2001,2001-01-01,6,6019,26.832014,20.847368,20.851504126,20.850030215
167,2001,2001-01-01,6,6021,25.595974,24.8077045,24.513697333,24.595245373
168,2001,2001-01-01,6,6023,25.584709,21.965688,22.2458029,22.162788472
169,2001,2001-01-01,6,6025,28.167564,27.049908,25.682457097,26.138669262
170,2001,2001-01-01,6,6027,14.571374,13.6263215,12.402644,12.380169176
171,2001,2001-01-01,6,6029,18.669984,12.857061,12.400414503,12.45075188
172,2001,2001-01-01,6,6031,22.161522,19.833746,20.023829963,20.131646388
173,2001,2001-01-01,6,6033,26.117746,21.239128,20.672108467,20.805634897
174,2001,2001-01-01,6,6035,27.840594,25.923123,25.703359111,25.442699416
175,2001,2001-01-01,6,6037,54.154478,46.625616,43.710733274,43.676808331
176,2001,2001-01-01,6,6039,24.996975,23.043639,22.455469087,22.660983548
177,2001,2001-01-01,6,6041,48.848221,45.717412,45.276720418,45.379842345
178,2001,2001-01-01,6,6043,22.326305,20.141475,20.178975167,20.387172248
179,2001,2001-01-01,6,6045,20.481642,18.5659755,18.7048025,18.660087645
180,2001,2001-01-01,6,6047,32.864497,27.596998,27.994062,28.20800522
181,2001,2001-01-01,6,6049,29.555573,26.662277,26.02273375,26.527363277
182,2001,2001-01-01,6,6051,18.859749,16.106695,16.653891333,17.507625881
183,2001,2001-01-01,6,6053,32.257769,25.479332,25.659132548,25.52076508
184,2001,2001-01-01,6,6055,48.428265,42.227404,40.903696175,41.235618457
185,2001,2001-01-01,6,6057,21.402212,17.4568735,18.0470337,17.970202288
186,2001,2001-01-01,6,6059,51.679927,46.1294225,45.720871756,45.694905577
187,2001,2001-01-01,6,6061,32.310527,29.148883,26.768943694,27.78703952
188,2001,2001-01-01,6,6063,29.767643,28.391851,27.597342714,27.701403925
189,2001,2001-01-01,6,6065,38.647235,28.189117,26.553613945,27.395895282
190,2001,2001-01-01,6,6067,46.058381,35.082594,34.642008669,34.68314546
191,2001,2001-01-01,6,6069,30.65238,29.015428,28.822867,29.034636686
192,2001,2001-01-01,6,6071,40.861908,25.574186,25.650461252,25.671574926
193,2001,2001-01-01,6,6073,41.43817,39.98425,39.71545107,39.656715023
194,2001,2001-01-01,6,6075,50.896017,49.9298285,49.730071709,49.748267907
195,2001,2001-01-01,6,6077,48.051365,39.329651,39.540268072,39.856074146
196,2001,2001-01-01,6,6079,26.069782,23.428349,23.003498698,22.721147896
197,2001,2001-01-01,6,6081,51.56989,48.782667,48.818755595,48.798159834
198,2001,2001-01-01,6,6083,22.058142,17.190468,17.178270989,17.108340063
199,2001,2001-01-01,6,6085,56.347699,53.0578055,52.279354844,52.280825374
200,2001,2001-01-01,6,6087,45.765731,37.7298205,38.065516692,37.876000358
201,2001,2001-01-01,6,6089,29.534393,28.0049745,28.032261542,28.004282947
202,2001,2001-01-01,6,6091,21.589941,21.589941,21.589941,21.589941
203,2001,2001-01-01,6,6093,32.448875,31.104079,31.159450143,31.145145022
204,2001,2001-01-01,6,6095,51.149063,45.392011,46.341022052,46.059728997
205,2001,2001-01-01,6,6097,43.182014,31.631907,32.372779949,32.44990484
206,2001,2001-01-01,6,6099,41.384179,34.0933,33.726030691,33.698041554
207,2001,2001-01-01,6,6101,31.635705,28.676193,28.755904476,28.636050557
208,2001,2001-01-01,6,6103,27.040964,26.065835,26.083289182,26.100269068
209,2001,2001-01-01,6,6105,27.763525,25.413645,25.3070178,26.025872759
210,2001,2001-01-01,6,6107,18.141939,16.4228935,15.882478654,15.882836152
211,2001,2001-01-01,6,6109,22.394217,18.962672,18.814056545,18.556999033
212,2001,2001-01-01,6,6111,26.778679,21.087019,20.920480468,20.943164169
213,2001,2001-01-01,6,6113,39.498652,36.7495,36.664948415,36.60883221
214,2001,2001-01-01,6,6115,29.220882,27.3843985,26.669498,26.925086243
215,2001,2001-01-01,8,8001,25.048741,23.352685,23.520255515,23.565550314
216,2001,2001-01-01,8,8003,11.547254,11.467562,11.37034125,11.334598818
217,2001,2001-01-01,8,8005,23.304068,21.841637,21.91418351,21.949060778
218,2001,2001-01-01,8,8007,11.095853,10.86454,10.859,10.754748933
219,2001,2001-01-01,8,8009,14.199402,14.0171845,14.0171845,14.032192911
220,2001,2001-01-01,8,8011,15.06172,15.06172,15.06172,15.06172
221,2001,2001-01-01,8,8013,23.599033,22.589446,22.454202868,22.477973422
222,2001,2001-01-01,8,8014,23.607222,23.105853,23.144581722,23.190994526
223,2001,2001-01-01,8,8015,13.421589,13.00961,13.0831168,13.112319674
224,2001,2001-01-01,8,8017,15.550075,15.550075,15.550075,15.550075
225,2001,2001-01-01,8,8019,18.736335,17.918217,17.916785333,17.835196713
226,2001,2001-01-01,8,8021,11.044878,11.0116945,11.0116945,11.013631812
227,2001,2001-01-01,8,8023,11.310948,11.184213,11.184213,11.175869493
228,2001,2001-01-01,8,8025,14.712582,14.712582,14.712582,14.712582
229,2001,2001-01-01,8,8027,12.33497,12.33497,12.33497,12.33497
230,2001,2001-01-01,8,8029,13.795285,13.60883,13.585261571,13.5782106
231,2001,2001-01-01,8,8031,24.238423,22.818945,22.761870708,22.763671499
232,2001,2001-01-01,8,8033,11.751743,11.751743,11.751743,11.751743
233,2001,2001-01-01,8,8035,20.856165,20.032206,19.672754393,19.73506906
